Disaster_Number,State,County,Zip_Code,Avg_Inspected_Damage,Total_Inspected,Total_Damage,Total_Approved,Repair_Replace_Amount,Rental_Amount,Other_Needs_Amount
1464,TN,Davidson ,37217,2391.555,2,4783.11,4783.11,4664.07,0.0,119.04
1464,TN,Davidson ,37208,229.3333333,1,688.0,688.0,688.0,0.0,0.0
1464,TN,Davidson ,37211,1777.151786,24,49760.25,17651.48,15623.48,2028.0,0.0
1464,TN,Davidson ,37205,5006.7,1,5006.7,3252.08,3084.33,0.0,167.75
1464,TN,Davidson ,37210,0.0,0,0.0,0.0,0.0,0.0,0.0
1464,TN,Davidson ,37220,2584.635,1,5169.27,3726.5,3726.5,0.0,0.0
1464,TN,Davidson ,37206,67.62333333,1,202.87,0.0,0.0,0.0,0.0
1464,TN,Davidson ,37209,1489.08,1,1489.08,631.31,631.31,0.0,0.0
1464,TN,Davidson ,37212,0.0,0,0.0,0.0,0.0,0.0,0.0
1464,TN,Davidson ,37218,633.14,1,1266.28,4205.52,606.79,3099.0,499.73
1464,TN,Davidson ,37207,939.254375,10,15028.07,9047.96,1341.56,0.0,7706.4
1464,TN,Davidson ,37214,0.0,2,0.0,0.0,0.0,0.0,0.0
1464,TN,Davidson ,37216,0.0,1,0.0,0.0,0.0,0.0,0.0
1634,TN,Davidson ,37218,635.5,1,635.5,0.0,0.0,0.0,0.0
1634,TN,Davidson ,37210,215.7,1,215.7,0.0,0.0,0.0,0.0
1909,TN,Davidson ,32703,0.0,1,0.0,0.0,0.0,0.0,0.0
1909,TN,Davidson ,37115,0.0,0,0.0,0.0,0.0,0.0,0.0
1909,TN,Davidson ,37202,0.0,1,0.0,0.0,0.0,0.0,0.0
1909,TN,Davidson ,37204,4640.03184,475,2496337.13,1374037.18,1123663.63,201001.0,45590.16
1909,TN,Davidson ,37210,3566.379848,265,1405153.66,1169510.52,936391.96,149952.0,81950.65
1909,TN,Davidson ,34218,0.0,0,0.0,0.0,0.0,0.0,0.0
1909,TN,Davidson ,37220,2287.533523,179,441493.97,346203.21,322331.8,15126.0,8745.41
1909,TN,Davidson ,37208,1360.370259,262,472048.48,571736.16,450371.86,80414.34,40949.96
1909,TN,Davidson ,37215,4436.147063,597,2945601.65,2044425.04,1820153.3,155686.52,64734.36
1909,TN,Davidson ,37072,0.0,0,0.0,0.0,0.0,0.0,0.0
1909,TN,Davidson ,37217,2391.555925,280,827478.35,610341.59,495057.3,44170.0,69498.38
1909,TN,Davidson ,37201,2659.2344,33,199442.58,216166.98,186092.35,28710.0,1219.56
1909,TN,Davidson ,37214,8040.270578,988,9463398.47,6568108.79,5288842.86,745310.15,508406.74
1909,TN,Davidson ,37205,3291.981514,758,2761972.49,2361295.15,2185680.0,134114.0,40476.66
