Disaster_Number,Incident_Type,Application_Title,DCC,Damage_Category,Project_Size,County,State_Code,Project_Amount,Federal_Share_Obligated,Total_Obligated,declaration_date,obligated_date
1275,Severe Storm(s),B-1 ROADS AND BRIDGES,C,Roads and Bridges,Small,Davidson,TN,2640.85,1980.64,2121.67,1999-05-12 04:00:00+00:00,1999-06-04 18:03:45+00:00
1275,Severe Storm(s),B-1 LARGE PROJECT  DEBRIS REMOVAL,A,Debris Removal,Large,Davidson,TN,94148.39,70611.29,74054.13,1999-05-12 04:00:00+00:00,1999-08-11 23:31:04+00:00
1275,Severe Storm(s),B-1 DEBRIS REMOVAL,A,Debris Removal,Small,Davidson,TN,13570.2,10177.65,10796.46,1999-05-12 04:00:00+00:00,1999-06-04 18:06:14+00:00
1275,Severe Storm(s),AIRPORT,G,Recreational or Other,Small,Davidson,TN,14509.0,10881.75,11430.19,1999-05-12 04:00:00+00:00,1999-06-07 18:57:04+00:00
1275,Severe Storm(s),AIRFIELD LIGHTING AND SIGNS,G,Recreational or Other,Small,Davidson,TN,15940.0,11955.0,12557.53,1999-05-12 04:00:00+00:00,1999-06-07 18:57:04+00:00
1275,Severe Storm(s),DEBRIS REMOVAL,A,Debris Removal,Small,Davidson,TN,46538.0,34903.5,36662.64,1999-05-12 04:00:00+00:00,1999-06-07 18:57:04+00:00
1275,Severe Storm(s),PROTECTIVE MEASURES,B,Protective Measures,Small,Davidson,TN,17509.0,13131.75,13793.59,1999-05-12 04:00:00+00:00,1999-06-07 18:57:04+00:00
1275,Severe Storm(s),LIFT STATION,F,Public Utilities,Small,Davidson,TN,8636.0,6477.0,6771.8,1999-05-12 04:00:00+00:00,1999-06-07 18:57:04+00:00
1275,Severe Storm(s),B-1 DAMAGED BUILDING,E,Public Buildings,Small,Davidson,TN,6102.4,4576.8,4745.84,1999-05-12 04:00:00+00:00,1999-06-07 18:57:04+00:00
1275,Severe Storm(s),B-1 DAMAGED BUILDING,E,Public Buildings,Small,Davidson,TN,11939.0,8954.25,9284.96,1999-05-12 04:00:00+00:00,1999-06-07 18:57:04+00:00
1275,Severe Storm(s),B-1 DAMAGED BUILDING,E,Public Buildings,Small,Davidson,TN,28981.0,21735.75,22538.53,1999-05-12 04:00:00+00:00,1999-06-07 18:57:04+00:00
1275,Severe Storm(s),B-2 PUBLIC BUILDINGS,E,Public Buildings,Small,Davidson,TN,1085.0,813.75,843.8,1999-05-12 04:00:00+00:00,1999-06-07 18:57:04+00:00
1275,Severe Storm(s),DEBRIS REMOVAL - LARGE PROJECT,A,Debris Removal,Large,Davidson,TN,291403.5,218552.63,227567.12,1999-05-12 04:00:00+00:00,1999-08-11 23:31:04+00:00
1275,Severe Storm(s),DEBRIS REMOVAL - LARGE PROJECT,A,Debris Removal,Large,Davidson,TN,507582.0,380686.51,393837.38,1999-05-12 04:00:00+00:00,1999-08-11 23:31:04+00:00
